,cluster,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
51,2,B3LYP,6-31+G*,2,4,67.787,67.938,54.941,55.092,5.164,6.077,5.043,5.956
52,2,B3LYP,6-31+G*,2,6,67.787,67.938,54.941,55.092,4.232,4.903,4.111,4.782
53,2,B3LYP,6-31+G*,2,8,67.787,67.938,54.941,55.092,4.393,5.978,4.272,5.857
54,2,B3LYP,6-31+G*,2,10,67.787,67.938,54.941,55.092,4.355,5.895,4.234,5.774
55,2,B3LYP,6-31+G*,2,12,67.787,67.938,54.941,55.092,4.004,5.889,3.883,5.768
56,2,B3LYP,6-31+G*,3,1,67.661,68.43,54.815,55.584,6.923,6.923,6.802,6.802
57,2,B3LYP,6-31+G*,3,2,67.661,68.43,54.815,55.584,6.023,6.485,5.902,6.364
58,2,B3LYP,6-31+G*,3,3,67.661,68.43,54.815,55.584,5.257,5.269,5.136,5.148
59,2,B3LYP,6-31+G*,3,4,67.661,68.43,54.815,55.584,5.164,6.077,5.043,5.956
60,2,B3LYP,6-31+G*,3,6,67.661,68.43,54.815,55.584,4.232,4.903,4.111,4.782
61,2,B3LYP,6-31+G*,3,8,67.661,68.43,54.815,55.584,4.393,5.978,4.272,5.857
62,2,B3LYP,6-31+G*,3,10,67.661,68.43,54.815,55.584,4.355,5.895,4.234,5.774
63,2,B3LYP,6-31+G*,3,12,67.661,68.43,54.815,55.584,4.004,5.889,3.883,5.768
64,2,B3LYP,6-31+G*,4,1,68.274,69.654,55.428,56.808,6.923,6.923,6.802,6.802
65,2,B3LYP,6-31+G*,4,2,68.274,69.654,55.428,56.808,6.023,6.485,5.902,6.364
66,2,B3LYP,6-31+G*,4,3,68.274,69.654,55.428,56.808,5.257,5.269,5.136,5.148
67,2,B3LYP,6-31+G*,4,4,68.274,69.654,55.428,56.808,5.164,6.077,5.043,5.956
68,2,B3LYP,6-31+G*,4,6,68.274,69.654,55.428,56.808,4.232,4.903,4.111,4.782
