ppm	intensity
124.7243	95.839
124.7086	37.1937
124.6929	51.3076
124.6772	134.4241
124.6615	0.4326
124.6458	9.5803
124.63	41.5211
124.6143	7.4356
124.5986	125.4507
124.5829	55.0572
124.5672	238.7906
124.5515	5.8135
124.5358	35.779
124.5201	129.095
124.5044	-119.8174
124.4887	-149.3751
124.473	44.4123
124.4573	-95.0134
124.4416	-26.5885
124.4259	113.3164
124.4102	-103.0807
124.3945	29.971
124.3787	96.0595
124.363	-73.3333
124.3473	190.8538
124.3316	138.554
124.3159	116.5035
124.3002	140.8095
124.2845	48.0471
124.2688	214.8666
124.2531	-138.8694
124.2374	66.8836
124.2217	124.4035
124.206	81.0074
124.1903	189.8081
124.1746	131.5224
124.1589	161.0535
124.1432	124.8279
124.1274	-10.9077
124.1117	171.8376
124.096	158.9622
124.0803	-38.6915
124.0646	99.8617
124.0489	24.9335
124.0332	5.1318
124.0175	-53.3233
124.0018	52.211
123.9861	42.3789
123.9704	-51.1706
123.9547	100.8576
123.939	-178.2411
123.9233	-169.4611
123.9076	-45.2682
123.8918	102.3252
123.8761	45.0385
123.8604	151.1853
123.8447	-28.7198
123.829	42.7733
123.8133	109.6268
123.7976	45.9607
123.7819	-166.7154
123.7662	-63.361
123.7505	81.7973
123.7348	109.176
123.7191	-13.117
123.7034	-99.2288
123.6877	-45.2866
123.672	73.3348
123.6563	96.291
123.6406	110.5394
123.6248	107.268
123.6091	-6.05
123.5934	-25.0353
123.5777	-29.4648
123.562	40.5127
123.5463	65.9595
123.5306	6.3606
123.5149	-24.4278
123.4992	-26.5529
123.4835	-12.2702
123.4678	34.5145
123.4521	70.7133
123.4364	-125.254
123.4207	118.2763
123.405	59.5885
123.3892	35.8645
123.3736	-102.985
123.3578	-61.7581
123.3421	51.7755
123.3264	118.604
123.3107	77.3533
123.295	8.358
123.2793	-33.819
123.2636	171.2258
123.2479	143.1695
123.2322	108.5107
123.2165	-140.3878
123.2008	11.8052
123.1851	119.5506
123.1694	52.6962
123.1537	72.698
123.138	29.3934
123.1222	46.5571
123.1065	91.2246
123.0908	-41.1381
123.0751	26.4677
123.0594	114.1249
123.0437	-0.8965
123.028	129.6062
123.0123	64.6605
122.9966	235.2678
122.9809	-22.5711
122.9652	-15.5803
122.9495	-15.2401
122.9338	17.1842
122.9181	-50.621
122.9024	46.2183
122.8867	118.1985
122.8709	63.8708
122.8552	90.7346
122.8395	-44.1167
122.8238	24.9653
122.8081	-15.6724
122.7924	45.4663
122.7767	42.4336
122.761	174.4382
122.7453	231.1447
122.7296	51.4713
122.7139	255.1525
122.6982	59.0911
122.6825	-5.728
122.6668	-79.2056
122.6511	27.7048
122.6354	57.7785
122.6196	108.0048
122.6039	54.7037
122.5882	-178.8305
122.5725	-40.3188
122.5568	16.7006
122.5411	-70.3554
122.5254	-29.8667
122.5097	27.487
122.494	-1.4592
122.4783	223.9454
122.4626	139.6575
122.4469	74.6676
122.4312	87.9972
122.4155	120.4444
122.3998	190.7416
122.384	57.1278
122.3683	-146.9958
122.3526	-53.5936
122.3369	157.8894
122.3212	149.63
122.3055	71.9353
122.2898	269.3634
122.2741	178.3604
122.2584	29.8633
122.2427	28.1501
122.227	71.8549
122.2113	18.2566
122.1956	83.9523
122.1799	-57.187
122.1642	-49.6849
122.1485	223.4485
122.1328	-75.8254
122.117	9.7879
122.1013	179.7975
122.0856	100.86
122.0699	166.9679
122.0542	113.1736
122.0385	-12.1496
122.0228	89.2055
122.0071	-18.6565
121.9914	138.9506
121.9757	-61.4458
121.96	212.8625
121.9443	71.9695
121.9286	129.9462
121.9129	4.4399
121.8972	207.6363
121.8814	84.2649
121.8657	101.7301
121.85	29.4876
121.8343	-65.2105
121.8186	94.9652
121.8029	67.9496
121.7872	74.1677
121.7715	97.2927
121.7558	98.4952
121.7401	55.6056
121.7244	141.159
121.7087	54.8657
121.693	32.6812
121.6773	-145.8215
121.6616	101.9183
121.6459	7.3346
121.6301	13.2997
121.6144	62.3928
121.5987	-29.5809
121.583	-20.389
121.5673	117.5788
121.5516	-107.9354
121.5359	-140.3019
121.5202	-116.9112
121.5045	0.329
121.4888	-1.8201
121.4731	-65.4721
121.4574	46.4125
121.4417	136.1712
121.426	50.3647
121.4103	134.7077
121.3946	10.5888
121.3788	288.5862
121.3631	178.3736
121.3474	91.4401
121.3317	-117.0326
121.316	-194.0367
121.3003	22.3784
121.2846	75.1685
121.2689	221.1282
121.2532	157.137
121.2375	38.3318
121.2218	-149.5907
121.2061	79.6461
121.1904	23.9763
121.1747	129.3613
121.159	167.0455
121.1432	-86.6698
121.1275	121.1377
121.1118	-44.0943
121.0961	-2.0166
121.0804	-11.1456
121.0647	32.9077
121.049	108.0392
121.0333	152.795
121.0176	144.0402
121.0019	27.3699
120.9862	-75.7512
120.9705	51.0232
120.9548	28.8156
120.9391	0.1701
120.9234	-26.4527
120.9077	23.888
120.892	54.6404
120.8762	75.6924
120.8605	110.958
120.8448	217.2904
120.8291	-78.8818
120.8134	-52.1667
120.7977	-108.201
120.782	62.5791
120.7663	148.9512
120.7506	-67.7484
120.7349	75.4164
120.7192	-20.3009
120.7035	50.2198
120.6878	-4.906
120.6721	-124.962
120.6564	62.7566
120.6407	72.2115
120.625	72.237
120.6092	-17.758
120.5935	-36.6155
120.5778	119.5308
120.5621	-50.5932
120.5464	167.4854
120.5307	45.0826
120.515	33.2751
120.4993	125.9181
120.4836	180.719
120.4679	-24.1092
120.4522	-62.6569
120.4365	6.2209
120.4208	75.2276
120.4051	49.0558
120.3894	-102.9272
120.3736	119.7973
120.3579	238.5983
120.3422	105.8629
120.3265	-16.5472
120.3108	118.8251
120.2951	-6.3819
120.2794	23.1436
120.2637	102.3812
120.248	-20.2838
120.2323	-41.9765
120.2166	63.9112
120.2009	98.753
120.1852	-53.2085
120.1695	22.8867
120.1538	177.0381
120.1381	100.7135
120.1224	-20.659
120.1066	-23.6672
120.0909	-7.9
120.0752	-103.8732
120.0595	-95.8585
120.0438	127.2957
120.0281	-0.2569
120.0124	100.9951
119.9967	99.7315
119.981	-11.4774
119.9653	-15.4509
119.9496	11.2668
119.9339	224.1129
119.9182	-44.4044
119.9025	27.6857
119.8868	73.3066
119.871	119.4618
119.8553	19.3153
119.8396	-65.6935
119.8239	-20.3605
119.8082	-52.2463
119.7925	158.3598
119.7768	114.5415
119.7611	224.5886
119.7454	76.562
119.7297	-18.7861
119.714	84.8594
119.6983	108.6088
119.6826	134.9692
119.6669	-78.3322
119.6512	9.6472
119.6355	-77.1586
119.6198	-74.0958
119.604	44.2772
119.5883	62.8614
119.5726	23.0031
119.5569	87.0568
119.5412	186.8974
119.5255	-157.9915
119.5098	-16.2614
119.4941	52.3234
119.4784	-80.7019
119.4627	41.8859
119.447	15.6907
119.4313	85.1154
119.4156	-16.8607
119.3999	81.8329
119.3842	-23.9205
119.3684	-35.787
119.3527	72.1912
119.337	168.2323
119.3213	-108.0156
119.3056	166.9492
119.2899	142.2629
119.2742	186.1346
119.2585	46.0618
119.2428	134.1556
119.2271	-209.6659
119.2114	58.9636
119.1957	-47.1124
119.18	30.2475
119.1643	-8.5598
119.1486	-19.216
119.1329	8.763
119.1171	-53.3279
119.1014	85.3859
119.0857	27.0869
119.07	22.5549
119.0543	9.5859
119.0386	-103.6289
119.0229	87.9907
119.0072	160.1826
118.9915	56.0365
118.9758	95.3777
118.9601	13.4789
118.9444	87.9011
118.9287	85.2288
118.913	67.3438
118.8973	83.0324
118.8816	72.0255
118.8658	61.9073
118.8501	26.6409
118.8344	-54.0887
118.8187	81.9593
118.803	69.5715
118.7873	66.2508
118.7716	90.189
118.7559	104.567
118.7402	-150.2409
118.7245	87.6129
118.7088	92.5791
118.6931	34.4331
118.6774	-11.4625
118.6617	15.5261
118.646	97.3637
118.6302	118.7781
118.6145	60.8499
118.5988	-22.3527
118.5831	166.6992
118.5674	113.3638
118.5517	-116.164
118.536	187.1758
118.5203	-51.6724
118.5046	117.3511
118.4889	75.9167
118.4732	63.9501
118.4575	67.0434
118.4418	136.6646
118.4261	121.6673
118.4104	-37.9162
118.3947	173.0618
118.379	99.0919
118.3632	132.7937
118.3475	12.1553
118.3318	-17.1343
118.3161	161.7166
118.3004	139.9129
118.2847	121.2491
118.269	74.493
118.2533	-30.8905
118.2376	103.8909
118.2219	-51.6907
118.2062	43.6276
118.1905	59.1034
118.1748	242.6219
118.1591	47.5479
